file,BL_P,BL_N,BL_NET,BL_SENTIMENT,M_P,M_N,M_NET,M_SENTIMENT,M_UNCERTAINTY,M_LITIGIOUS,M_CONSTRAINING,M_SUPERFLUOUS,M_INTERESTING,M_MODAL
130-AUTOLIV INC.txt,9341,8128,1213,POSITIVE,3581,4854,-1273,NEGATIVE,1874,1947,1837,20,463,1262
1301 - ROWAN COMPANIES PLC.txt,9478,8257,1221,POSITIVE,3626,4943,-1317,NEGATIVE,1901,1983,1863,21,469,1279
"1305 - RTI SURGICAL, INC..txt",9544,8308,1236,POSITIVE,3653,4958,-1305,NEGATIVE,1908,1992,1869,22,469,1287
1307 - RYLAND GROUP INC.txt,9626,8396,1230,POSITIVE,3676,5003,-1327,NEGATIVE,1922,2017,1895,22,472,1297
"1308 - Radius Health, Inc..txt",9704,8465,1239,POSITIVE,3698,5038,-1340,NEGATIVE,1936,2029,1902,22,475,1305
"1318 - Rouse Properties, Inc..txt",9781,8522,1259,POSITIVE,3727,5063,-1336,NEGATIVE,1941,2037,1912,22,479,1314
"132-AVIAT NETWORKS, INC..txt",9879,8590,1289,POSITIVE,3759,5118,-1359,NEGATIVE,1959,2056,1930,22,484,1326
1324 - SANDERSON FARMS INC.txt,10015,8714,1301,POSITIVE,3811,5219,-1408,NEGATIVE,1997,2081,1958,23,494,1355
1326 - SANMINA CORP.txt,10085,8789,1296,POSITIVE,3837,5270,-1433,NEGATIVE,2011,2097,1973,24,498,1366
1328 - SAUL CENTERS INC.txt,10135,8834,1301,POSITIVE,3846,5297,-1451,NEGATIVE,2014,2104,1975,24,498,1373
1331 - SCHLUMBERGER LTD  NV.txt,10265,8951,1314,POSITIVE,3902,5374,-1472,NEGATIVE,2045,2129,2003,24,506,1393
1335 - SEABOARD CORP  DE.txt,10297,8990,1307,POSITIVE,3913,5393,-1480,NEGATIVE,2049,2141,2007,24,510,1399
1339 - SELECT MEDICAL HOLDINGS CORP.txt,10414,9105,1309,POSITIVE,3943,5459,-1516,NEGATIVE,2076,2181,2033,25,516,1419
1340 - SELECTIVE INSURANCE GROUP INC.txt,10530,9217,1313,POSITIVE,3993,5529,-1536,NEGATIVE,2104,2217,2057,25,521,1432
1342 - SENIOR HOUSING PROPERTIES TRUST.txt,10575,9269,1306,POSITIVE,4005,5549,-1544,NEGATIVE,2115,2224,2067,25,523,1438
1348 - SHERWIN WILLIAMS CO.txt,10689,9363,1326,POSITIVE,4053,5608,-1555,NEGATIVE,2141,2249,2084,25,527,1454
135-AVISTA CORP.txt,10790,9461,1329,POSITIVE,4097,5664,-1567,NEGATIVE,2164,2269,2105,25,535,1472
1350 - SHORE BANCSHARES INC.txt,10883,9577,1306,POSITIVE,4118,5738,-1620,NEGATIVE,2186,2305,2130,26,541,1483
1352 - SILICON LABORATORIES INC.txt,10988,9666,1322,POSITIVE,4155,5795,-1640,NEGATIVE,2209,2324,2150,26,545,1498
"1353 - SILVER BULL RESOURCES, INC..txt",11048,9716,1332,POSITIVE,4175,5820,-1645,NEGATIVE,2225,2345,2154,26,546,1505
1359 - SMITH A O CORP.txt,11140,9809,1331,POSITIVE,4214,5865,-1651,NEGATIVE,2252,2361,2172,26,550,1522
1360 - SNAP-ON Inc.txt,11261,9915,1346,POSITIVE,4273,5926,-1653,NEGATIVE,2283,2397,2195,27,559,1540
1362 - SONIC AUTOMOTIVE INC.txt,11329,9987,1342,POSITIVE,4294,5966,-1672,NEGATIVE,2300,2417,2210,28,563,1553
1363 - SONIC FOUNDRY INC.txt,11393,10043,1350,POSITIVE,4319,6001,-1682,NEGATIVE,2310,2438,2216,28,568,1559
1364 - SONOCO PRODUCTS CO.txt,11524,10173,1351,POSITIVE,4374,6075,-1701,NEGATIVE,2340,2474,2242,30,575,1581
1365 - SOTHEBYS.txt,11677,10287,1390,POSITIVE,4442,6150,-1708,NEGATIVE,2374,2501,2270,30,581,1601
1366 - SOUTH JERSEY INDUSTRIES INC.txt,11783,10384,1399,POSITIVE,4490,6211,-1721,NEGATIVE,2396,2528,2291,30,588,1616
1369 - SOUTHERN COPPER CORP.txt,11868,10452,1416,POSITIVE,4518,6241,-1723,NEGATIVE,2411,2546,2305,30,594,1629
1372 - SOUTHWEST GAS CORP.txt,11986,10550,1436,POSITIVE,4562,6289,-1727,NEGATIVE,2431,2569,2332,31,601,1643
1374 - SPAN AMERICA MEDICAL SYSTEMS INC.txt,12075,10642,1433,POSITIVE,4597,6330,-1733,NEGATIVE,2453,2587,2352,31,605,1662
1377 - SPS COMMERCE INC.txt,12163,10709,1454,POSITIVE,4629,6356,-1727,NEGATIVE,2466,2596,2369,32,607,1672
1378 - SPX CORP.txt,12331,10848,1483,POSITIVE,4688,6470,-1782,NEGATIVE,2505,2636,2401,32,614,1694
138-AbbVie Inc..txt,12442,10953,1489,POSITIVE,4735,6517,-1782,NEGATIVE,2529,2659,2433,34,623,1713
1380 - ST JUDE MEDICAL INC.txt,12562,11059,1503,POSITIVE,4775,6589,-1814,NEGATIVE,2559,2687,2455,36,629,1729
"1385 - STANLEY BLACK & DECKER, INC..txt",12670,11154,1516,POSITIVE,4820,6649,-1829,NEGATIVE,2587,2711,2479,36,632,1747
1386 - STARBUCKS CORP.txt,12675,11163,1512,POSITIVE,4823,6651,-1828,NEGATIVE,2587,2712,2479,36,632,1748
1391 - STEEL DYNAMICS INC.txt,12799,11265,1534,POSITIVE,4873,6719,-1846,NEGATIVE,2614,2725,2499,37,638,1766
"1396 - STR HOLDINGS, INC..txt",12871,11342,1529,POSITIVE,4893,6756,-1863,NEGATIVE,2631,2736,2519,37,642,1776
1398 - STRAYER EDUCATION INC.txt,12947,11416,1531,POSITIVE,4922,6801,-1879,NEGATIVE,2646,2763,2537,37,643,1786
"140-Advanced BioEnergy, LLC.txt",12990,11452,1538,POSITIVE,4938,6813,-1875,NEGATIVE,2651,2771,2545,37,645,1791
1401 - STURM RUGER & CO INC.txt,13128,11582,1546,POSITIVE,4986,6888,-1902,NEGATIVE,2674,2819,2564,39,656,1808
1403 - SUNTRUST BANKS INC.txt,13244,11692,1552,POSITIVE,5038,6967,-1929,NEGATIVE,2700,2843,2593,39,663,1824
1407 - SVB FINANCIAL GROUP.txt,13333,11772,1561,POSITIVE,5072,7008,-1936,NEGATIVE,2713,2867,2610,39,666,1834
1408 - SYNNEX CORP.txt,13413,11844,1569,POSITIVE,5102,7045,-1943,NEGATIVE,2734,2880,2620,40,671,1847
1409 - SYNOPSYS INC.txt,13535,11946,1589,POSITIVE,5153,7111,-1958,NEGATIVE,2765,2901,2647,40,678,1865
1410 - SYNOVUS FINANCIAL CORP.txt,13625,12040,1585,POSITIVE,5180,7161,-1981,NEGATIVE,2786,2919,2674,40,685,1883
1414 - Select Income REIT.txt,13664,12091,1573,POSITIVE,5191,7182,-1991,NEGATIVE,2795,2926,2684,40,687,1888
